,sigma,acc
0,0.0,74.02
1,0.01,74.07000000000001
2,0.02,74.64
3,0.03,75.27000000000001
4,0.04,74.85000000000001
5,0.05,74.27
6,0.06,73.4
7,0.07,69.99
8,0.08,66.79
9,0.09,61.12
