,sigma2,acc
0,0.0,73.86
1,0.01,73.46000000000001
2,0.02,73.46000000000001
3,0.03,72.84
4,0.04,72.81
5,0.05,71.78
6,0.06,71.0
7,0.07,70.09
8,0.08,68.86
9,0.09,68.58999999999999
