,sigma,acc
0,0.0,73.72999999999999
1,0.01,73.74000000000001
2,0.02,73.61999999999999
3,0.03,73.58
4,0.04,73.78
5,0.05,73.9
6,0.06,73.48
7,0.07,73.49
8,0.08,73.22999999999999
9,0.09,73.04
