,sigma,acc
0,0.0,69.57
1,0.01,69.57
2,0.02,69.19999999999999
3,0.03,67.10000000000001
4,0.04,63.22
5,0.05,58.589999999999996
6,0.06,51.13999999999999
7,0.07,43.87
8,0.08,35.730000000000004
9,0.09,28.21
