,sigma,acc
0,0.0,74.72999999999999
1,0.01,75.09
2,0.02,74.53999999999999
3,0.03,72.97
4,0.04,69.02000000000001
5,0.05,62.29
6,0.06,53.04
7,0.07,44.54
8,0.08,38.53
9,0.09,34.1
