,100,200,300,400,500,1000
0.5,0.8,0.8,0.8,0.8,0.8,2.3
0.8,1.6,1.6,2.3,2.3,3.1,6.2
1.0,1.6,1.6,3.1,5.5,5.5,12.5
1.3,3.1,3.1,8.6,10.2,12.5,21.9
1.5,3.9,4.7,9.4,11.7,14.1,25.0
1.8,4.7,6.2,14.8,18.0,20.3,27.3
2.0,7.0,10.9,14.8,19.5,21.9,31.2
