,100,200,300,400,500,1000
0.5,28.9,36.7,46.9,53.1,53.1,64.8
0.8,49.2,57.0,67.2,68.8,72.7,79.7
1.0,66.4,75.0,76.6,85.9,85.9,100
1.3,82.8,88.3,96.1,100,100,100
1.5,93.8,100,100,100,100,100
1.8,100,100,100,100,100,100
2.0,100,100,100,100,100,100
