,100,200,300,400,500,1000
0.5,39.8,49.2,51.6,54.7,54.7,62.5
0.8,55.5,60.2,69.5,70.3,81.2,82.8
1.0,70.3,78.1,78.1,85.9,86.7,100
1.3,83.6,94.5,95.3,100,100,100
1.5,94.5,100,100,100,100,100
1.8,100,100,100,100,100,100
2.0,100,100,100,100,100,100
