,100,200,300,400,500,1000
0.5,13.3,16.4,16.4,16.4,16.4,21.9
0.8,14.1,18.8,21.9,24.2,25.8,32.0
1.0,14.8,17.2,21.9,24.2,25.8,46.9
1.3,19.5,21.9,27.3,28.9,35.2,56.2
1.5,23.4,25.0,32.8,35.9,45.3,64.8
1.8,25.8,29.7,39.1,47.7,52.3,78.9
2.0,32.8,35.2,46.9,56.2,57.8,82.8
