,100,200,300,400,500,1000
0.5,11.7,12.5,15.6,16.4,16.4,28.9
0.8,13.3,18.0,25.0,27.3,32.0,45.3
1.0,20.3,21.9,30.5,32.8,38.3,52.3
1.3,26.6,29.7,38.3,39.8,46.1,60.2
1.5,31.2,34.4,41.4,50.0,50.8,65.6
1.8,41.4,47.7,52.3,57.0,66.4,76.6
2.0,41.4,50.0,54.7,60.9,71.9,79.7
