,100,200,300,400,500,1000
0.5,0.0,0.0,0.0,0.0,0.0,1.6
0.8,0.0,0.0,0.8,2.3,2.3,4.7
1.0,0.8,1.6,2.3,2.3,3.9,9.4
1.3,2.3,2.3,4.7,8.6,10.9,18.0
1.5,3.1,4.7,7.8,12.5,14.1,21.9
1.8,7.0,10.2,15.6,18.8,20.3,25.0
2.0,8.6,11.7,15.6,19.5,21.1,25.8
