,100,200,300,400,500,1000
0.5,16.4,27.3,35.9,38.3,39.1,39.8
0.8,30.5,37.5,38.3,39.1,43.0,43.0
1.0,35.2,42.2,42.2,43.8,46.1,46.9
1.3,41.4,43.8,46.9,49.2,51.6,51.6
1.5,43.0,46.9,49.2,50.0,50.0,53.1
1.8,43.0,46.9,49.2,50.8,53.1,54.7
2.0,45.3,46.9,50.8,51.6,51.6,56.2
