,100,200,300,400,500,1000
0.5,14.8,15.6,18.8,20.3,20.3,23.4
0.8,14.8,16.4,22.7,26.6,29.7,46.9
1.0,18.0,19.5,27.3,30.5,35.2,52.3
1.3,25.0,26.6,36.7,40.6,45.3,67.2
1.5,28.1,32.0,39.1,50.0,51.6,76.6
1.8,39.1,45.3,49.2,57.8,64.1,84.4
2.0,41.4,48.4,51.6,60.9,69.5,100
