,100,200,300,400,500,1000
0.0,7.0,12.5,16.4,17.2,18.0,22.7
0.01,4.7,7.0,10.2,11.7,13.3,23.4
0.02,3.9,6.2,9.4,12.5,15.6,21.1
0.03,1.6,1.6,3.1,3.9,6.2,18.8
0.04,1.6,1.6,3.1,5.5,5.5,12.5
0.05,4.7,5.5,7.0,7.8,8.6,14.1
0.06,2.3,4.7,6.2,6.2,7.0,11.7
0.07,3.9,3.9,3.9,6.2,6.2,7.8
0.08,3.1,6.2,7.8,8.6,8.6,12.5
0.09,6.2,6.2,6.2,6.2,6.2,11.7
