,100,200,300,400,500,1000
0.0,18.0,21.9,25.8,27.3,39.1,54.7
0.01,16.4,18.8,24.2,25.0,32.0,48.4
0.02,14.8,18.0,22.7,23.4,29.7,49.2
0.03,14.8,17.2,21.9,24.2,26.6,45.3
0.04,14.8,17.2,21.9,24.2,26.6,45.3
0.05,14.8,18.8,24.2,24.2,29.7,48.4
0.06,14.8,17.2,21.9,24.2,25.8,46.9
0.07,14.8,18.8,24.2,24.2,28.9,45.3
0.08,14.8,18.8,24.2,24.2,28.1,44.5
0.09,14.8,18.8,24.2,24.2,28.1,44.5
