,100,200,300,400,500,1000
0.0,35.2,42.2,42.2,43.8,46.1,46.9
0.01,22.7,26.6,35.9,39.1,39.8,46.9
0.02,26.6,32.8,43.8,48.4,49.2,51.6
0.03,19.5,21.1,25.8,28.1,32.8,40.6
0.04,21.9,25.0,28.1,28.9,33.6,39.8
0.05,21.1,28.9,34.4,39.8,42.2,48.4
0.06,29.7,32.0,37.5,39.1,43.0,49.2
0.07,29.7,34.4,35.2,35.2,36.7,41.4
0.08,29.7,32.0,32.0,34.4,38.3,48.4
0.09,18.0,21.1,22.7,23.4,24.2,26.6
