,100,200,300,400,500,1000
0.5,10.9,12.5,12.5,12.5,12.5,16.4
0.8,11.7,13.3,13.3,14.1,14.1,25.8
1.0,11.7,14.1,15.6,17.2,18.0,37.5
1.3,13.3,16.4,20.3,21.9,22.7,53.1
1.5,13.3,19.5,25.8,25.8,25.8,54.7
1.8,18.8,27.3,32.8,33.6,36.7,65.6
2.0,27.3,32.0,42.2,43.0,43.8,70.3
