,100,200,300,400,500,1000
0.5,3.1,17.2,24.2,25.8,28.9,33.6
0.8,13.3,30.5,31.2,32.0,32.0,36.7
1.0,20.3,31.2,32.8,32.8,33.6,37.5
1.3,28.1,33.6,34.4,35.2,35.2,40.6
1.5,28.9,35.9,35.9,35.9,35.9,41.4
1.8,33.6,35.9,35.9,36.7,36.7,41.4
2.0,32.0,35.2,36.7,37.5,37.5,41.4
