,100,200,300,400,500,1000
0.5,1.6,1.6,1.6,1.6,1.6,1.6
0.8,1.6,1.6,1.6,3.1,3.1,5.5
1.0,1.6,2.3,2.3,3.9,3.9,10.9
1.3,1.6,3.9,5.5,10.2,12.5,24.2
1.5,3.1,5.5,7.0,14.1,15.6,28.9
1.8,5.5,10.9,16.4,21.9,25.8,35.2
2.0,9.4,17.2,25.0,28.1,29.7,39.1
