,100,200,300,400,500,1000
0.5,10.9,11.7,11.7,12.5,12.5,13.3
0.8,9.4,12.5,14.1,14.1,14.8,21.1
1.0,10.2,12.5,14.1,14.8,16.4,27.3
1.3,10.9,14.1,18.0,19.5,19.5,43.8
1.5,10.9,20.3,25.0,25.8,26.6,58.6
1.8,13.3,24.2,32.8,32.8,33.6,69.5
2.0,14.1,29.7,38.3,41.4,44.5,77.3
