,100,200,300,400,500,1000
0.5,0.5,4.7,5.5,5.5,6.2,7
0.8,0.8,5.5,7.8,10.9,14.1,15.6
1,1,7,14.8,17.2,18.8,21.1
1.3,1.3,13.3,21.1,25.8,28.1,28.9
1.5,1.5,18.8,26.6,27.3,28.1,29.7
1.8,1.8,23.4,27.3,28.1,28.9,30.5
2,2,25,28.1,28.1,28.9,28.9
