,100,200,300,400,500,1000
0.5,14.8,14.8,15.6,16.4,17.2,18.8
0.8,15.6,17.2,18.0,18.8,20.3,31.2
1.0,14.8,20.3,22.7,25.8,25.8,40.6
1.3,19.5,24.2,27.3,28.1,30.5,51.6
1.5,25.0,29.7,32.8,37.5,37.5,57.0
1.8,27.3,29.7,37.5,41.4,43.0,62.5
2.0,30.5,32.8,41.4,43.0,44.5,71.9
