,100,200,300,400,500,1000
0.5,0.0,0.0,0.0,0.0,0.0,2.3
0.8,0.8,1.6,2.3,2.3,2.3,5.5
1.0,1.6,1.6,3.1,3.9,4.7,9.4
1.3,2.3,5.5,6.2,9.4,10.2,20.3
1.5,2.3,7.8,7.8,10.2,11.7,23.4
1.8,4.7,8.6,9.4,14.1,16.4,25.0
2.0,6.2,10.2,11.7,14.8,18.8,31.2
