,sigma,acc
0,0.0,68.85
1,0.01,68.31
2,0.02,68.58
3,0.03,66.94
4,0.04,69.67
5,0.05,68.58
6,0.06,67.49
7,0.07,68.03
8,0.08,67.49
9,0.09,67.21
