,sigma,acc
0,0.0,67.49
1,0.01,67.76
2,0.02,66.12
3,0.03,67.21
4,0.04,67.21
5,0.05,66.94
6,0.06,67.49
7,0.07,66.67
8,0.08,66.12
9,0.09,68.31
