,sigma,acc
0,0.0,68.85
1,0.01,70.49
2,0.02,68.58
3,0.03,67.21
4,0.04,67.49
5,0.05,68.85
6,0.06,67.21
7,0.07,69.4
8,0.08,68.31
9,0.09,68.31
