,sigma,acc
0,0.0,70.77
1,0.01,69.95
2,0.02,68.85
3,0.03,70.22
4,0.04,70.22
5,0.05,69.4
6,0.06,67.21
7,0.07,68.58
8,0.08,66.94
9,0.09,64.21
