,100,200,300,400,500,1000
0.0,26.6,40.6,55.5,60.2,62.5,64.8
0.003,25.0,49.2,56.2,60.9,65.6,66.4
0.009,21.1,39.1,51.6,55.5,57.8,64.8
0.03,18.0,26.6,34.4,40.6,43.8,58.6
0.09,23.4,26.6,30.5,31.2,32.0,35.2
0.19,67.2,78.9,85.2,89.1,92.2,100
