,sigma,acc
0,0.0,75.15
1,0.01,75.15
2,0.02,74.55
3,0.03,74.95
4,0.04,74.65
5,0.05,73.75
6,0.06,74.55
7,0.07,72.95
8,0.08,74.45
9,0.09,74.65
