,sigma2,acc
0,0.0,74.25
1,0.01,74.05
2,0.02,75.25
3,0.03,74.75
4,0.04,74.35
5,0.05,75.45
6,0.06,75.25
7,0.07,74.95
8,0.08,74.75
9,0.09,74.05
