,sigma,acc
0,0.0,73.65
1,0.01,73.75
2,0.02,73.45
3,0.03,73.65
4,0.04,73.75
5,0.05,74.55
6,0.06,74.05
7,0.07,73.75
8,0.08,73.35
9,0.09,72.85
