,100,200,300,400,500,1000
0.0,0.8,0.8,1.6,1.6,1.6,4.7
0.01,0.8,0.8,0.8,1.6,1.6,2.3
0.02,0.8,0.8,0.8,1.6,1.6,2.3
0.03,0.8,0.8,0.8,0.8,0.8,2.3
0.04,0.8,0.8,0.8,0.8,0.8,2.3
0.05,0.8,0.8,0.8,0.8,0.8,2.3
0.06,0.0,0.8,0.8,0.8,0.8,2.3
0.07,0.0,0.8,0.8,0.8,0.8,2.3
0.08,0.0,0.8,0.8,0.8,0.8,2.3
0.09,0.0,0.8,0.8,0.8,0.8,2.3
