,100,200,300,400,500,1000
0.0,7.8,17.2,18.8,19.5,21.1,26.6
0.01,4.7,13.3,17.2,18.0,19.5,26.6
0.02,2.3,6.2,7.0,10.9,14.1,24.2
0.03,0.8,1.6,3.1,8.6,8.6,14.8
0.04,1.6,1.6,1.6,6.2,7.0,14.8
0.05,1.6,2.3,2.3,4.7,5.5,13.3
0.06,2.3,3.1,3.9,5.5,7.0,15.6
0.07,3.9,3.9,4.7,5.5,5.5,12.5
0.08,3.9,7.0,7.8,7.8,7.8,11.7
0.09,6.2,7.8,10.2,10.9,13.3,15.6
