,100,200,300,400,500,1000
0.0,20.3,31.2,32.8,32.8,33.6,37.5
0.01,12.5,23.4,27.3,32.0,32.0,33.6
0.02,7.0,18.8,21.9,24.2,25.0,31.2
0.03,7.0,14.8,17.2,18.8,21.1,27.3
0.04,8.6,16.4,21.1,24.2,25.0,38.3
0.05,7.8,14.8,18.0,21.9,23.4,30.5
0.06,7.8,11.7,16.4,20.3,21.9,27.3
0.07,14.1,18.0,18.8,21.9,22.7,31.2
0.08,8.6,15.6,19.5,21.1,22.7,30.5
0.09,10.2,13.3,14.8,18.0,18.8,26.6
