,100,200,300,400,500,1000
0.0,46.9,57.0,60.9,62.5,80.5,81.2
0.01,44.5,57.8,61.7,63.3,82.0,82.0
0.02,39.1,56.2,60.2,64.1,79.7,81.2
0.03,32.8,55.5,63.3,66.4,82.0,82.0
0.04,36.7,58.6,63.3,64.1,82.0,82.0
0.05,42.2,54.7,62.5,64.1,82.0,83.6
0.06,53.9,64.8,68.8,81.2,82.0,82.8
0.07,64.8,71.9,72.7,79.7,79.7,84.4
0.08,65.6,73.4,80.5,82.0,82.0,85.2
0.09,72.7,75.8,81.2,82.8,84.4,87.5
