,100,200,300,400,500,1000
0.0,7.8,18.8,25.0,26.6,27.3,39.8
0.01,10.2,20.3,25.8,28.9,29.7,40.6
0.02,9.4,16.4,25.0,28.9,29.7,43.0
0.03,10.2,14.1,21.9,24.2,25.8,41.4
0.04,9.4,14.1,21.9,25.0,26.6,38.3
0.05,10.9,19.5,23.4,25.0,25.8,42.2
0.06,14.8,20.3,22.7,25.8,25.8,40.6
0.07,18.0,18.0,18.8,19.5,21.9,36.7
0.08,20.3,21.9,22.7,24.2,25.8,46.1
0.09,19.5,25.0,26.6,28.1,30.5,39.1
