,100,200,300,400,500,1000
0.003,57.8,70.3,71.9,75.8,76.6,78.9
0.009,37.5,48.4,55.5,58.6,59.4,62.5
0.03,17.2,25.8,28.9,31.2,35.2,39.8
0.09,10.2,13.3,15.6,18.0,18.8,22.7
0.16,10.2,12.5,13.3,14.8,15.6,26.6
0.19,14.1,19.5,23.4,26.6,28.9,47.7
0.2,20.3,31.2,37.5,47.7,51.6,72.7
0.25,21.9,36.7,60.2,76.6,89.1,100
