,100,200,300,400,500,1000
0.5,1.6,1.6,1.6,1.6,1.6,2.3
0.8,1.6,1.6,2.3,2.3,2.3,3.1
1.0,3.1,3.9,3.9,3.9,3.9,4.7
1.3,3.9,6.2,7.8,7.8,8.6,8.6
1.5,7.0,7.8,9.4,9.4,9.4,9.4
1.8,8.6,10.2,10.9,11.7,11.7,13.3
2.0,10.2,12.5,15.6,15.6,15.6,17.2
